date,date_posted,headline,text
2020-09-13,30 days ,glass lewis recommends tesla chairwoman's re-election after opposing it earlier,proxy advisory firm glass lewis said late on tuesday it had recommended tesla inc's investors to vote in favor of re-electing chairwoman robyn denholm after having earlier opposed her re-election in june.
2020-09-13,30 days ,tesla's musk set to meet german economy minister - sources,"tesla inc ceo elon musk is scheduled to meet german economy minister peter altmaier on wednesday during a visit to germany, coalition sources told reuters."
2020-09-13,30 days ,"tesla launches $5 billion capital raise, tapping in on share surge","tesla inc on tuesday unveiled its biggest program of new share sales as a public company, seeking to cash in on soaring wall street interest in the electric carmaker to raise up to $5 billion that will ease future debt pressures."
2020-09-13,30 days ,tesla to raise up to $5 bln in share offering,tesla inc said on tuesday it plans to raise up to $5 billion through a share offering. (reporting by akanksha rana in bengaluru; editing by shinjini ganguli)
2020-09-13,30 days ,apple and tesla shares surge after stock splits kick in,high-flying shares of apple inc  and tesla inc  surged again on monday as stock splits took effect and attracted more buying from investors.
2020-09-13,30 days ,"apple, tesla bid up ahead of share split open","the high-flying shares of apple inc and tesla inc gained more ground on monday, ahead of their first official trading following a split into smaller portions that makes it easier for retail investors to own the shares."
2020-08-13,61 days ,elon musk's net worth tops $100 billion: forbes,"silicon valley entrepreneur elon musk's net worth topped $100 billion on friday, according to the forbes real-time billionaires list, as the shares of electric-car maker tesla inc  see a more than five-fold surge in value this year."
2020-08-13,61 days ,"apple and tesla are splitting their shares, but does it matter?","shares of apple inc  and tesla inc  will be less costly on monday as pre-announced stock splits take effect, in theory making them more accessible to retail investors, but as more brokers offer fractional shares, some in the market question the need."
2020-08-13,61 days ,"tesla shares surge to record high, leaving rivals behind","tesla inc shares continued their meteoric rise on thursday, scoring yet another record high and further expanding the distance between the silicon valley electric carmaker and its traditional auto industry rivals."
2020-08-13,61 days ,tesla's musk hints of battery capacity jump ahead of industry event,"tesla inc  ceo elon musk has suggested the u.s. electric carmaker may be able to mass produce batteries with 50% more energy density in three to four years, which could even enable electric airplanes."
2020-08-13,61 days ,tesla's musk hints of battery capacity jump ahead of industry event,"tesla inc's chief executive elon musk has suggested the u.s. electric carmaker may be able to mass produce longer-life batteries with 50% more energy density in three to four years. ""400 wh/kg *with* high cycle life, produced in volume (not just a lab) is not far. probably..."
2020-08-13,61 days ,"tesla, automakers urge ftc to seek appeal after defeat in qualcomm case","a group of tech companies and automakers, including tesla inc , ford motor co , honda motor co ltd  and daimler ag , on monday urged the u.s. federal trade commission to seek an appeal after its loss in a case against chip supplier qualcomm..."
2020-08-13,61 days ,"tesla's soaring stock cracks $2,000 ahead of share split","shares of tesla inc surged past the $2,000 mark on thursday for the first time as the electric car maker extended its recent rally ahead of an upcoming share split."
2020-08-13,61 days ,tesla seeks approval for sensor that could detect child left in hot cars,tesla inc. asked the federal communications commission (fcc) for approval to market a short-range interactive motion-sensing device that could help prevent children from being left behind in hot cars and boost theft-prevention systems.
2020-07-13,92 days ,tesla sets 5-1 stock split and its high-flying stock soars again,"tesla inc on tuesday announced a five-for-one stock split, sending the electric carmaker's recently high-flying shares up 7% in extended trade."
2020-07-13,92 days ,tesla launches five-for-one stock split,"tesla inc on tuesday announced a five-for-one stock split, which it said will begin on aug. 31. (reporting by munsif vengattil in bengaluru; editing by sriraj kalluvila)"
2020-07-13,92 days ,florida teen pleads not guilty to masterminding twitter hack,"a 17-year-old florida boy accused of masterminding the hacking of celebrity accounts on twitter inc, including those of democratic presidential candidate joe biden and tesla chief executive elon musk, pled not guilty to charges on tuesday."
2020-07-13,92 days ,russian dealer looks to zero customs tariff to lift tesla sales,"russia's main unofficial tesla dealer hopes zero customs fees will lift sales of the u.s. vehicles, despite their relatively high price and a fledgling charging infrastructure."
